decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
2000s,1,Nickelback,How You Remind Me,31410.62817,1,4,3,11,-,2
2000s,2,"Usher, Lil' Jon & Ludacris",Yeah!,30150.49603,1,1,1,1,-,1
2000s,3,"P Diddy, Usher & Loon",I Need A Girl,27244.34748,2,4,8,9,-,5
2000s,4,Mary J Blige,Family Affair,26717.21375,1,8,10,1,-,8
2000s,5,Lifehouse,Hanging By A Moment,26218.53576,2,25,62,-,-,1
2000s,6,Timbaland & OneRepublic,Apologize,25999.94401,2,3,1,7,1,1
2000s,7,Mariah Carey,We Belong Together,24811.14471,1,2,11,12,-,1
2000s,8,Three Doors Down,Kryptonite,24608.12086,3,-,85,-,-,8
2000s,9,Alicia Keys,Fallin',24532.51027,1,3,2,5,-,7
2000s,10,Faith Hill,Breathe,24199.08737,2,33,-,-,-,23
2000s,11,The Pussycat Dolls,Don't Cha,23856.35812,2,1,1,6,-,1
2000s,12,Nelly & Kelly Rowland,Dilemma,23836.85785,1,1,1,6,-,1
2000s,13,OutKast,Hey Ya!,23716.89781,1,3,6,7,-,1
2000s,14,Train,Drops Of Jupiter (Tell Me),23381.7427,5,10,73,73,-,5
2000s,15,Santana & The Product G,Maria Maria,23363.80698,1,6,1,1,1,49
2000s,16,Snow Patrol,Chasing Cars,23189.54987,5,6,8,57,26,-
2000s,17,50 Cent,In Da Club,23131.22215,1,3,1,16,-,1
2000s,18,Eminem,Lose Yourself,23097.90702,1,1,2,3,-,1
2000s,19,Mario,Let Me Love You,22853.51951,1,2,1,7,-,3
2000s,20,Faith Hill,The Way You Love Me,22736.86339,6,15,-,58,-,31
2000s,21,Rihanna & Jay-Z,Umbrella,22520.06389,1,1,1,6,1,1
2000s,22,Kelly Clarkson,Since U Been Gone,22493.13928,2,5,6,-,-,3
2000s,23,Creed,With Arms Wide Open,22445.53342,1,13,42,-,-,4
2000s,24,Jennifer Lopez & Ja Rule,I'm Real,22295.04818,1,4,11,3,-,3
2000s,25,Maroon 5,This Love,22213.62403,5,3,5,6,-,8
2000s,26,Kanye West & Jamie Foxx,Gold Digger,22185.60609,1,2,42,71,-,1
2000s,27,Destiny's Child,Independent Woman,22154.62941,1,1,10,19,-,3
2000s,28,The Calling,Wherever You Will Go,22077.31144,5,3,16,7,-,5
2000s,29,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,22076.48767,1,1,4,1,-,1
